,State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88
762,17,0,State,MEGHALAYA,Total,460775,2555861,1269728,1286133,507624,257336,250288,1526583,764768,761815,1029278,504960,524318,1029297,580501,448796,787442,474566,312876,393419,230635,162784,105573,63577,41996,10240,5176,5064,278210,175178,103032,241855,105935,135920,80035,31950,48085,78427,33234,45193,7582,2578,5004,75811,38173,37638,191321,83413,107908,62781,24333,38448,62040,26463,35577,5298,1814,3484,61202,30803,30399,50534,22522,28012,17254,7617,9637,16387,6771,9616,2284,764,1520,14609,7370,7239,1526564,689227,837337,,,,,
786,18,0,State,ASSAM,Total,755194,3884371,1957005,1927366,548432,280176,268256,2403972,1323962,1080010,1480399,633043,847356,1708763,1038350,670413,1126249,829252,296997,741837,567188,174649,91205,55926,35279,27908,11244,16664,265299,194894,70405,582514,209098,373416,270720,100757,169963,168553,53656,114897,37738,6391,31347,105503,48294,57209,483868,172097,311771,225503,82950,142553,139501,44176,95325,30316,4765,25551,88548,40206,48342,98646,37001,61645,45217,17807,27410,29052,9480,19572,7422,1626,5796,16955,8088,8867,2175608,918655,1256953,,,,,
870,19,0,State,WEST BENGAL,Total,1160069,5296953,2649974,2646979,697376,353227,344149,2664431,1565691,1098740,2632522,1084283,1548239,2509166,1470385,1038781,1451771,990111,461660,222897,189697,33200,717047,458535,258512,25613,13390,12223,486214,328489,157725,1057395,480274,577121,79993,44979,35014,733137,316014,417123,39936,9911,30025,204329,109370,94959,787603,365840,421763,60104,34470,25634,548257,241529,306728,26781,6765,20016,152461,83076,69385,269792,114434,155358,19889,10509,9380,184880,74485,110395,13155,3146,10009,51868,26294,25574,2787787,1179589,1608198,,,,,
930,20,0,State,JHARKHAND,Total,1699215,8645042,4315407,4329635,1466933,742447,724486,4101010,2435530,1665480,4544032,1879877,2664155,4058020,2257887,1800133,1874577,1243147,631430,921334,623335,297999,422286,247899,174387,44400,24321,20079,486557,347592,138965,2183443,1014740,1168703,743417,349197,394220,1140898,497466,643432,53874,19216,34658,245254,148861,96393,1744420,840490,903930,599493,289505,309988,914762,414722,500040,39534,14653,24881,190631,121610,69021,439023,174250,264773,143924,59692,84232,226136,82744,143392,14340,4563,9777,54623,27251,27372,4587022,2057520,2529502,,,,,
1005,21,0,State,ODISHA,Total,2163110,9590756,4727732,4863024,1520832,767943,752889,4215630,2522307,1693323,5375126,2205425,3169701,4769659,2633188,2136471,2330697,1697514,633183,942860,783486,159374,758536,466695,291841,60173,28884,31289,569128,418449,150679,2438962,935674,1503288,285273,150182,135091,1718927,589233,1129694,102489,23270,79219,332273,172989,159284,1991838,776295,1215543,236189,127379,108810,1430522,496552,933970,76427,17431,58996,248700,134933,113767,447124,159379,287745,49084,22803,26281,288405,92681,195724,26062,5839,20223,83573,38056,45517,4821097,2094544,2726553,,,,,
1098,22,0,State,CHHATTISGARH,Total,1743277,7822902,3873191,3949711,1199092,601810,597282,3913827,2279320,1634507,3909075,1593871,2315204,4131903,2215025,1916878,2490127,1615296,874831,1313342,898809,414533,784929,434581,350348,23688,13451,10237,368168,268455,99713,1641776,599729,1042047,474609,175806,298803,1051713,367874,683839,16061,6018,10043,99393,50031,49362,1324102,488107,835995,378877,138711,240166,869540,310516,559024,11724,4369,7355,63961,34511,29450,317674,111622,206052,95732,37095,58637,182173,57358,124815,4337,1649,2688,35432,15520,19912,3690999,1658166,2032833,,,,,
1155,23,0,State,MADHYA PRADESH,Total,3122061,15316784,7719404,7597380,2826880,1448145,1378735,6313661,3734771,2578890,9003123,3984633,5018490,7640148,4105887,3534261,4865027,2959812,1905215,2017253,1288613,728640,2207854,1224569,983285,32860,16628,16232,607060,430002,177058,2775121,1146075,1629046,433944,171918,262026,2036354,815419,1220935,39777,14475,25302,265046,144263,120783,2279638,943174,1336464,346097,132662,213435,1709550,690298,1019252,27500,9744,17756,196491,110470,86021,495483,202901,292582,87847,39256,48591,326804,125121,201683,12277,4731,7546,68555,33793,34762,7676636,3613517,4063119,,,,,
1308,24,0,State,GUJARAT,Total,1699510,8917174,4501389,4415785,1413312,723667,689645,4688536,2707845,1980691,4228638,1793544,2435094,4432444,2542720,1889724,3047912,2128765,919147,1043397,860166,183231,1363636,802521,561115,21139,13581,7558,619740,452497,167243,1384532,413955,970577,191553,55714,135839,1022364,279958,742406,13158,4332,8826,157457,73951,83506,1232536,354965,877571,170400,47544,122856,915746,241514,674232,11051,3535,7516,135339,62372,72967,151996,58990,93006,21153,8170,12983,106618,38444,68174,2107,797,1310,22118,11579,10539,4484730,1958669,2526061,,,,,
1389,25,0,State,DAMAN & DIU,Total,3198,15363,7771,7592,1773,921,852,10708,5907,4801,4655,1864,2791,6724,4405,2319,5966,4128,1838,142,114,28,145,104,41,32,26,6,5647,3884,1763,758,277,481,374,80,294,116,43,73,12,5,7,256,149,107,635,219,416,351,73,278,94,33,61,10,4,6,180,109,71,123,58,65,23,7,16,22,10,12,2,1,1,76,40,36,8639,3366,5273,,,,,
1398,26,0,State,DADRA & NAGAR HAVELI,Total,32640,178564,88844,89720,28595,14466,14129,92759,54757,38002,85805,34087,51718,74096,44198,29898,53056,37889,15167,21964,15860,6104,5903,2915,2988,654,411,243,24535,18703,5832,21040,6309,14731,5256,1739,3517,11202,2243,8959,382,91,291,4200,2236,1964,17874,5135,12739,4555,1401,3154,9421,1768,7653,321,72,249,3577,1894,1683,3166,1174,1992,701,338,363,1781,475,1306,61,19,42,623,342,281,104468,44646,59822,,,,,
1404,27,0,State,MAHARASHTRA,Total,2156957,10510213,5315025,5195188,1553366,794398,758968,5887161,3357543,2529618,4623052,1957482,2665570,5323325,2935471,2387854,4379403,2534219,1845184,1156385,693565,462820,2405164,1244960,1160204,39523,20942,18581,778331,574752,203579,943922,401252,542670,153156,65746,87410,609674,238486,371188,18281,6028,12253,162811,90992,71819,815998,347172,468826,132543,56971,75572,534694,209622,325072,13471,4472,8999,135290,76107,59183,127924,54080,73844,20613,8775,11838,74980,28864,46116,4810,1556,3254,27521,14885,12636,5186888,2379554,2807334,,,,,
1512,28,0,State,ANDHRA PRADESH,Total,1417289,5918073,2969362,2948711,770975,399301,371674,2532727,1499586,1033141,3385346,1469776,1915570,3208051,1666680,1541371,2565865,1414263,1151602,762138,472037,290101,1353645,638909,714736,46236,21211,25025,403846,282106,121740,642186,252417,389769,53086,24452,28634,470075,169562,300513,17567,6015,11552,101458,52388,49070,554512,217117,337395,45195,20129,25066,409740,147561,262179,13589,4537,9052,85988,44890,41098,87674,35300,52374,7891,4323,3568,60335,22001,38334,3978,1478,2500,15470,7498,7972,2710022,1302682,1407340,,,,,
1584,29,0,State,KARNATAKA,Total,875742,4248987,2134754,2114233,560527,285350,275177,2289909,1315619,974290,1959078,819135,1139943,2135448,1257322,878126,1723036,1088804,634232,499196,367138,132058,659887,326425,333462,36113,16652,19461,527840,378589,149251,412412,168518,243894,39030,14708,24322,251623,88644,162979,15092,5725,9367,106667,59441,47226,364347,147174,217173,33985,12585,21400,231588,81026,150562,11724,4301,7423,87050,49262,37788,48065,21344,26721,5045,2123,2922,20035,7618,12417,3368,1424,1944,19617,10179,9438,2113539,877432,1236107,,,,,
1677,30,0,State,GOA,Total,32067,149275,72948,76327,14908,7573,7335,106334,56982,49352,42941,15966,26975,63643,40666,22977,46779,31887,14892,8208,5188,3020,3825,2008,1817,844,523,321,33902,24168,9734,16864,8779,8085,1870,943,927,6001,2644,3357,490,189,301,8503,5003,3500,12487,6679,5808,1492,750,742,4076,1803,2273,323,151,172,6596,3975,2621,4377,2100,2277,378,193,185,1925,841,1084,167,38,129,1907,1028,879,85632,32282,53350,,,,,
1686,31,0,State,LAKSHADWEEP,Total,10665,61120,30515,30605,7055,3699,3356,49576,25661,23915,11544,4854,6690,16402,13074,3328,9219,7623,1596,0,0,0,0,0,0,91,61,30,9128,7562,1566,7183,5451,1732,0,0,0,0,0,0,154,57,97,7029,5394,1635,4761,3687,1074,0,0,0,0,0,0,110,33,77,4651,3654,997,2422,1764,658,0,0,0,0,0,0,44,24,20,2378,1740,638,44718,17441,27277,,,,,
1692,32,0,State,KERALA,Total,119788,484839,238203,246636,54463,27947,26516,326272,169812,156460,158567,68391,90176,230265,138952,91313,161408,105387,56021,16288,11764,4524,65509,39432,26077,1698,961,737,77913,53230,24683,68857,33565,35292,4605,2380,2225,30520,14811,15709,1106,459,647,32626,15915,16711,50943,25847,25096,2404,1261,1143,23211,11691,11520,727,326,401,24601,12569,12032,17914,7718,10196,2201,1119,1082,7309,3120,4189,379,133,246,8025,3346,4679,254574,99251,155323,,,,,
1737,33,0,State,TAMIL NADU,Total,196373,794697,401068,393629,103938,54188,49750,375343,214417,160926,419354,186651,232703,433299,239617,193682,354441,201538,152903,106099,59907,46192,145721,73917,71804,5279,2403,2876,97342,65311,32031,78858,38079,40779,6765,3551,3214,47551,21341,26210,2921,942,1979,21621,12245,9376,66737,32626,34111,6066,3189,2877,41035,18711,22324,2259,743,1516,17377,9983,7394,12121,5453,6668,699,362,337,6516,2630,3886,662,199,463,4244,2262,1982,361398,161451,199947,,,,,
1836,35,0,State,ANDAMAN & NICOBAR ISLANDS,Total,6910,28530,14731,13799,3844,1966,1878,18658,10323,8335,9872,4408,5464,11680,7635,4045,4693,3381,1312,61,36,25,24,19,5,479,279,200,4129,3047,1082,6987,4254,2733,77,43,34,86,47,39,1968,1084,884,4856,3080,1776,5226,3130,2096,28,13,15,60,37,23,1499,850,649,3639,2230,1409,1761,1124,637,49,30,19,26,10,16,469,234,235,1217,850,367,16850,7096,9754,,,,,
